# suite,benchmark,ns_per_point,cv — written by scripts/bench_run.sh baseline from the
# same docs/bench/*.json that produced the tables in space/irbem/BENCHMARKS.md.
# host: pop-os, g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0, device NVIDIA
# governor: powersave
# commit: 950e2e1, 2026-08-28
irbem-per-routine,BM_cpu_t89_field/70,64.2919,0.0051
irbem-per-routine,BM_cpu_t89_field/80,64.3091,0.0133
irbem-per-routine,BM_cpu_t89_field/90,64.5304,0.0070
irbem-per-routine,BM_cpu_trace_batch/1024/real_time,60042.1,0.0207
irbem-per-routine,BM_cpu_trace_batch/16384/real_time,59144.3,0.0227
irbem-per-routine,BM_cpu_trace_batch/256/real_time,58916.4,0.0147
irbem-per-routine,BM_cpu_trace_batch/4096/real_time,58693.2,0.0225
irbem-per-routine,BM_cpu_trace_batch/64/real_time,59804.3,0.0179
irbem-per-routine,BM_cpu_trace_batch/65536/real_time,58921.2,0.0150
irbem-per-routine,BM_cpu_trace_invariant,58511.3,0.0169
irbem-per-routine,BM_gpu_dipole_field_batch/real_time,3.53678,0.4417
irbem-per-routine,BM_gpu_igrf_batch/real_time,48.6715,1.1551
irbem-per-routine,BM_gpu_trace_batch/1024/real_time,22947.5,0.2661
irbem-per-routine,BM_gpu_trace_batch/16384/real_time,1560.61,0.0650
irbem-per-routine,BM_gpu_trace_batch/256/real_time,91580.7,0.2671
irbem-per-routine,BM_gpu_trace_batch/4096/real_time,4139.92,0.1559
irbem-per-routine,BM_gpu_trace_batch/64/real_time,251279,0.3342
irbem-per-routine,BM_gpu_trace_batch/65536/real_time,1256.54,0.0143
irbem-per-routine,BM_irbem_caldat,10.0963,0.0052
irbem-per-routine,BM_irbem_car_sph,21.3155,0.0084
irbem-per-routine,BM_irbem_date_and_time2decy,10.1393,0.0199
irbem-per-routine,BM_irbem_decy2date_and_time,13.8441,0.0217
irbem-per-routine,BM_irbem_doy_and_ut2date_and_time,17.5822,0.0212
irbem-per-routine,BM_irbem_gdz_geo,16.264,0.0065
irbem-per-routine,BM_irbem_geo2gei,445.532,0.0074
irbem-per-routine,BM_irbem_geo2gse,445.171,0.0184
irbem-per-routine,BM_irbem_geo2gsm,445.635,0.0061
irbem-per-routine,BM_irbem_geo2mag,312.078,0.0061
irbem-per-routine,BM_irbem_geo2sm,447.533,0.0163
irbem-per-routine,BM_irbem_geo_gdz,120.324,0.0050
irbem-per-routine,BM_irbem_get_doy,6.17459,0.0155
irbem-per-routine,BM_irbem_get_field_dipole,641.406,0.0093
irbem-per-routine,BM_irbem_get_field_igrf,778.705,0.0130
irbem-per-routine,BM_irbem_get_field_t89/0,893.504,0.0190
irbem-per-routine,BM_irbem_get_field_t89/10,888.839,0.0108
irbem-per-routine,BM_irbem_get_field_t89/20,877.239,0.0058
irbem-per-routine,BM_irbem_get_field_t89/30,882.921,0.0152
irbem-per-routine,BM_irbem_get_field_t89/40,879.823,0.0025
irbem-per-routine,BM_irbem_get_field_t89/50,878.525,0.0018
irbem-per-routine,BM_irbem_get_field_t89/60,877.423,0.0252
irbem-per-routine,BM_irbem_get_field_t89/70,882.896,0.0104
irbem-per-routine,BM_irbem_get_field_t89/80,877.861,0.0179
irbem-per-routine,BM_irbem_get_field_t89/90,876.268,0.0035
irbem-per-routine,BM_irbem_gse2hee,162.425,0.0125
irbem-per-routine,BM_irbem_gsm2geo,445.536,0.0150
irbem-per-routine,BM_irbem_gsm2sm,444.888,0.0164
irbem-per-routine,BM_irbem_hae2hee,163.035,0.0178
irbem-per-routine,BM_irbem_hae2heeq,160.924,0.0015
irbem-per-routine,BM_irbem_hee2gse,162.689,0.0043
irbem-per-routine,BM_irbem_hee2hae,163.107,0.0039
irbem-per-routine,BM_irbem_heeq2hae,160.939,0.0048
irbem-per-routine,BM_irbem_julday,2.69452,0.0064
irbem-per-routine,BM_irbem_make_lstar_full,1.38741e+07,0.0298
irbem-per-routine,BM_irbem_make_lstar_pitch,551361,0.0179
irbem-per-routine,BM_irbem_make_lstar_trace,15598.8,0.0329
irbem-per-routine,BM_irbem_rll_gdz,12.0797,0.0074
irbem-per-routine,BM_irbem_sph_car,16.1267,0.0032
